Username,Tweet,Retweet_Count,Favourite_Count,Date
=@paloma_bella,Wuhan Laowai was live in Wuhan (Optics Valley Square #1) https://t.co/5B5MVfnssw via @YouTube #COVID-19,0,0,20 37 2020 02:37.PM
=@lilastories,"This is how misinformation and fearmongering spreads. If there's a lab in Wuhan, yeah, that's what you'll use as inspiration as a writer. 

There's politicians tweeting this stuff. It's not good. https://t.co/HcuoK3AMjU",0,0,20 37 2020 02:37.PM
=@kalitor,Francis Boyle Coronavirus Wuhan Biological Weapon The Truth Interview https://t.co/RKXNp3MB1N via @JasonLiosatos,1,0,20 37 2020 02:37.PM
=@WooziOveralls,people are dropping dead because of this virus and (god i hope im wrong) even the dome tour might be cancelled because of it....dont think pledis only cancelled the tour bc they felt like it because the wuhan virus is an actual threat to all carats' and seventeen's health,0,0,20 37 2020 02:37.PM
=@threeneetee,"@DrEricDing #Wuhan ""In summary, viral nucleotide can be found in anal swab or blood even if it cannot be detected in oral swabs. It should be noted that although swabs may be negative, the patient might still be viremic."" #CoronaVirus #COVID19 https://t.co/N5UYjK8U6q",0,1,20 36 2020 02:36.PM
=@Grace81473535,"Translation
Finally, the CCP blew up the #WuhanP4Lab. 
Deafening explosions have been heard in Wuhan in recent days
Residents of Wuhan, who live near the P4 lab, told friends and relatives that the govt was actually demolishing some of the lab's buildings with explosives.

#China https://t.co/u7xQYi8knr",0,1,20 36 2020 02:36.PM
=@Grace81473535,"Translation
Finally, the CCP blew up the #WuhanP4Lab. 
Deafening explosions have been heard in Wuhan in recent days
Residents of Wuhan, who live near the P4 lab, told friends and relatives that the govt was actually demolishing some of the lab's buildings with explosives.

#China",0,0,20 36 2020 02:36.PM
=@PneumoniaWuhan,"Evidence of SARS-CoV-2 Infection in Returning Travelers from Wuhan, China | NEJM https://t.co/gZ2KVPzjeA #coronavirus #covid19",0,0,20 36 2020 02:36.PM
=@bard81,=@tkwan88 @Wuhan_Clan @VanWineFest @TheRichmondNews No thanks,0,1,20 35 2020 02:35.PM
=@greatnorthwest5,=@Wuhan_Clan I heard you like fuck?,0,1,20 35 2020 02:35.PM
=@Jane71321594,=@CommandoCdn @ChinaGovMOFA She is totally disappointed. What She said is true. I came from Wuhan,0,0,20 35 2020 02:35.PM
=@poandpo,"China reports 1,749 new confirmed cases of Wuhan coronavirus infection, 136 new deaths https://t.co/gMnlPSzndC #Health https://t.co/eQQT8822Zi #612",0,0,20 35 2020 02:35.PM
=@josephthavaraja,#coronahustle  #chinese returnees from #Moscow #Russia bring back loads of #Masks with them  #coronavirus #ChinaCoronaVirus #china #WuhanCoronavirus #coronaviruschina #WuhanOutbreak  #WuhanPneumonia  #Wuhan #CoronaVirusOutbreak #ncov2020 #CoronaVirusFacts #COVID19 #VirusCorona https://t.co/0eJjMCBh4Z,0,0,20 34 2020 02:34.PM
=@NARI_SSA,WAS THE CORONAVIRUS / WUHAN VIRUS PREDICTED IN THIS 1981 NOVEL 'THE EYES OF THE DARKNESS' >> https://t.co/5eA8UHgNpV,0,0,20 34 2020 02:34.PM
=@trixienovel,"Be prepared, not Scared
#Wuhan #CoronaVirus #Communism #WuhanOutbreak2019 #CoVID19 #breaking_news #Media #Law #government #Democracy #Republicans #Libertarians #corporations #Trump #DrainTheDeepState #MAGA #Survival #censorship #Health #Medical #censorship
https://t.co/574iUZRnvf",1,0,20 34 2020 02:34.PM
=@sharon_weston,"Praying for you, #China!  #wuhan #COVD19 #coronavirus #Bible #JesusChrist #JesusSaves https://t.co/SfPTgTucRA",0,1,20 34 2020 02:34.PM
=@Qii73599961,"=@LiYuan6 many Chinese don’t represent those families who lost their daughters and sons, and more awakened Chinese know CCP care their power more than people lives, history repeating now as good people of Wuhan are the sacrifices again.",0,0,20 34 2020 02:34.PM
=@Wuhan_Clan,=@cbcnewsbc She is my friend.,0,1,20 34 2020 02:34.PM
=@drjackrasmus,"#Coronavirus Does quarantining increase infection? Cruise ship Diamond Princess suggests so. After 14 days, 621 out of 3011 tested had virus. Japan then releases 3700 passengers & crew into the public. What about quarantine in Wuhan? Or those returning to US housed on AF bases.",0,1,20 33 2020 02:33.PM
=@PRCAmbNepal,Delighted to hear that all the Nepali returned from Wuhan are  negative in their first test for #COVID19. Good Luck for everybody! https://t.co/uv6NX48XZ5,7,46,20 33 2020 02:33.PM
=@ESahresh,@TalatHussain12  I DID NOT see ny ur tw 2 raise voice 4 #PakistaniStudents stuck in wuhan BUT NW U R USING SITUATION 4 UR OWN ADVANTAGE.  @zfrmrza playing wid lives of students n here u r also playing it for ur own benefit ????  SHAME at u as well #EvacuatePakistaniStudents https://t.co/3nOIjhflWI,0,0,20 33 2020 02:33.PM
=@CBhattacharji,@GurmanBhatia @ReutersGraphics @TmarcoH Btw fascinating data that shows how the Wuhan lockdown has reduced the level of air pollution. To be expected of course but the data is really impactful  https://t.co/JUC9srhvDd  https://t.co/MNzAo0rY47  https://t.co/GWUpnsKyWk  https://t.co/Vp8Km3NKFG  https://t.co/h5AEBW6xN3,0,0,20 33 2020 02:33.PM
=@I_Doesnt_Care_U,@devlin_nanaroku The virus might spread due to contamination. Worried that imports from China might make the virus widespread. It’s just lurking you know. I’m worried for my country #China #coronavirusec #COVID2019 #WuhanCoronavius #WuHan #coronaviruschina #ChinaVirus #CoronavirusOutbreak,0,0,20 33 2020 02:33.PM
=@iamgergy1,"A country's truly powerful standards are the degree of civilization, the rule of law, the humane feelings, the integrity index, and the moral level.

Leaked #wuhan #WuhanCoronavirus shows nothing but money and economy are useless whenever natural disasters are tackled brutally!",0,0,20 33 2020 02:33.PM
=@tculpan,"Just in:
Foxconn said today that 2020 revenue will be impacted by Wuhan Coronavirus. We knew that.
What's interesting, factories in:
*India
*Vietnam
*Mexico
are all fully loaded

And, it's further expanding overseas",3,4,20 33 2020 02:33.PM
=@eqmaverickpoet,"@tracybeanz Trureporting on Youtube had this interesting correlation in a 40yr old book, THE EYES OF DARKNESS.

Interestingly enough it mentions Wuhan, a virus, RDNA sequencing, pneumonia & only affecting humans. 

I’ll surf & see if i can find what you’re looking for!!!

? https://t.co/AOwk1Pj9yp",0,0,20 33 2020 02:33.PM
=@leungmankong1,Very moved and grateful when I saw this Japanese girl tried so hard to raise money for WUHAN. I also know that Japan government gives us a lot of helps in different way for this tragedy. All I want to say is THANK YOU!! #???? #???? #???? https://t.co/AvMqAC0wTn,0,0,20 33 2020 02:33.PM
=@iFortknox,WUHAN CLAN AIN’T NOTHING TO FUCK WITH! https://t.co/qqArSttwF6,1,0,20 32 2020 02:32.PM
=@BiSmArCkDaViS,The new coronavirus outbreak in China has hit global #SupplyChains hard with the impact starting to show as inventories run low amid prolonged citywide shutdowns and factory closures.  The #UN must step in to help control.   #Wuhan kills businesses!  #procurement #coronavavirus,1,0,20 32 2020 02:32.PM
=@DoobiestB,"#coronavirus #COVID19 2019-nCoV  ?? 
Wuhan Hubei China outbreak

Ministers of China and Asean began meeting in Vientiane, Laos, to discuss measures adopted by Beijing to contain the spread of the coronavirus.

R???  

@7NewsWatertown #wwny Twitter Twits!
https://t.co/GCn76MjFOE",0,0,20 32 2020 02:32.PM
=@UdkMehx,"This hidden number calls just piss the shit out of me, answer wondering who...  And some Babi telling Chinese Manthra laaa.  Hahaha tryna transmit wuhan to me thru the phone Isit! ? spoil my sleep Issshhh!",0,2,20 32 2020 02:32.PM
=@SpaceForce1776,....up the Yangtze River to Wuhan! https://t.co/HO58Hzz0Y2,0,0,20 32 2020 02:32.PM
=@pepupopu,"One employee of the Ministry of Health, Labor and Welfare and one employee of the Cabinet Secretariat were infected with the Wuhan virus on a cruise ship.",0,0,20 32 2020 02:32.PM
=@tvt_news,A short film provides a striking look inside Wuhan’s coronavirus lockdown https://t.co/aKoWufV9eF https://t.co/pl5cqCfeRv,0,0,20 31 2020 02:31.PM
=@Eliudmurithi3,@Ali_Manzu Then government should not let our brothers suffer in Wuhan in the name of protecting them. This virus can't get into African genetics.,0,1,20 31 2020 02:31.PM
=@ohmymiracle1,I guess I’m the only one who saw an American professor and his 2 Chinese students were arrested days ago in the connection to the creation of the N-Coronavirus also alleging one of the students a Sergeant General in the Chinese army and Wuhan native.,0,0,20 31 2020 02:31.PM
=@SpaceForce1776,@intheMatrixxx ....up the Yangtze River to Wuhan!,0,0,20 31 2020 02:31.PM
=@OscarEddy4,"@Parliament_Ug @KagutaMuseveni @NRMOnline I don’t think money will evacuate our Ugandans in Wuhan,China..All they need are means to bring them home safely.. they can be monitored from here. https://t.co/goQe5lJeyF",0,0,20 30 2020 02:30.PM
=@iceagereentry,Senator Cotton: China Refusing To Hand Over Evidence About Wuhan BioLab. New evidence confirmed the source of the virus was not Wuhan Market. Scientists at South China University of Technology say lab may have been the source of the coronavirus outbreak. https://t.co/jFXFRjzmIS https://t.co/MOGoKGpCWp,7,6,20 30 2020 02:30.PM
=@AudioCode3,"So far Zero dead on cruise ship. ?? HERE IS YOUR MOST IMPORTANT #COVID19 UPDATE OF THE DAY it looks like someone ""caught the flu"".

Well. How about THAT! They look pretty healthy #dissidents to us!
#Coronavirus #CoronaOutbreak #China #Wuhan 
https://t.co/8kU7TF2z2T",0,0,20 30 2020 02:30.PM
=@Krister888,Exclusive: Wuhan funeral home staffer reveals real death toll of coronav... https://t.co/bOYQfqtVrR via @YouTube,0,1,20 30 2020 02:30.PM
=@Dulcify747,=@_evelynrae Got my vote- Better still send to Wuhan to form a human shield around the town to protect the rest of the world againt the virus,0,0,20 30 2020 02:30.PM
=@mehabecapital,"LENOVO : WUHAN PLANT SHUTDOWN AFFECTING PHONE, TABLET OUTPUT",0,0,20 30 2020 02:30.PM
=@TPE_connect,German study lists 20 countries that are most likely to import coronavirus around the world..... #Germany #Coronavirus #COVID #Wuhan #WuhanCoronavirus #CoronavirusOutbreak #China #CoronavirusChina #COVID19 https://t.co/IpEqhHByAH,1,1,20 30 2020 02:30.PM
=@thouse_opinions,"In a letter to the editor, a Somali scholar living in #Wuhan talks about his experience during the #coronavirus outbreak: Everything is moving in a good direction. People are brave. Thank those who helped us and struggled on the front line and thank #China.bit.ly/2SGt6He https://t.co/EAJX6BSyZW",0,0,20 29 2020 02:29.PM
=@McHenryGmail,Here's another thought. The Harvard Prof who was helping set up the bio weapons lab in Wuhan. Did a sample get mishandled & cause infections? https://t.co/roPIsnuITu,0,0,20 29 2020 02:29.PM
=@News247WorldPre,"#Breaking: #JhoLow, the fugitive businessman at the center of the 1MDB scandal, may be hiding in Wuhan, where the #coronavirus outbreak began https://t.co/g7EXHGE5wc https://t.co/LYxeNez5d5",0,0,20 29 2020 02:29.PM
=@TomthunkitsMind,"#coronavirus 
A UK national, Charlie Parker, has chosen to stay behind in the Chinese city of Wuhan, the center of a novel coronavirus epidemic in Hubei Province. https://t.co/0rsKo9PoXe 02
#ThursdayThoughts",1,1,20 29 2020 02:29.PM
=@alanruo9919,"=@TomthunkitsMind many people died in Wuhan, not many outside",0,0,20 28 2020 02:28.PM
=@breakingmkts,"LENOVO SAYS WUHAN PLANT SHUTDOWN AFFECTING PHONE, TABLET OUTPUT",0,0,20 28 2020 02:28.PM
=@russian_market,"LENOVO SAYS WUHAN PLANT SHUTDOWN AFFECTING PHONE, TABLET OUTPUT",17,26,20 28 2020 02:28.PM
=@newsFromMumbai,Evacuees from Wuhan on their way home (via: https://t.co/hlTknVs7Fe)  https://t.co/DVJVUZpL3T,0,0,20 28 2020 02:28.PM
=@GIJEZUS,"@Halafish2 @TIME True, good point. Another against could be the air quality and ventilation(being in open clean(cleaner than wuhan) air on ocean) might be a beneficial condition with it being a respiratory virus which can spread through air, if quarantined anyway. Ill sleep on my next one lol",0,0,20 28 2020 02:28.PM
=@DoobiestB,"#coronavirus #COVID19 2019-nCoV  ??  
Wuhan Hubei China outbreak

China hit global supply chains hard, spurred sourcing away from the world’s manufacturing hub Shift started amid the U.S.-China tariff fight.

R???  

@7NewsWatertown #wwny Twitter Twits!
https://t.co/2ktcEcjxkm",0,1,20 28 2020 02:28.PM
=@hkcalvinwong,"@realDonaldTrump Minimike and #Wang, #wuhan #lab and #France is helping to build that behind! https://t.co/gANAQXfJtE",0,0,20 28 2020 02:28.PM
=@yiq_wang,Someone in Wuhan said there is a good storage. Supermarket is closed. Government distributes meals at a very high price. https://t.co/lhYNFnX0le,0,0,20 28 2020 02:28.PM
=@satch1032,"Would Yall Kill Someone No Hesi' For $2.50? Het. What About $250?.. Still No. Maybe 10k>/=?. Pick Your Price PG County. There's A Bounty I'm Trying to Lift From a Good Man. However, Due to my PTSD Outburst... It's Too late. My Question Now is... More or Less. #Capitalism #Wuhan",0,1,20 27 2020 02:27.PM
=@jcgfrippout,"=@plunderbund What is the matter with these people??? have they not seen the current data on deaths from flu and the coronavirus, which currently has No vaccine? Seriously, send these people to Wuhan, right now, and let’s hear their opinions on vaccines three weeks from now.",0,1,20 27 2020 02:27.PM
=@trixienovel,"Be prepared, not Scared
#Wuhan #CoronaVirus #Communism #WuhanOutbreak2019 #CoVID19 #breaking_news #Media #Law #government #Democracy #Republicans #Libertarians #corporations #Trump #DrainTheDeepState #MAGA #Survival #censorship #Health #Medical #censorship
https://t.co/hkw6T0aqfc",0,1,20 27 2020 02:27.PM
=@DutchDrB,"@247BZ FYI: “In an effort to evacuate 126 people from #Wuhan to Frankfurt, we discovered that shedding of potentially infectious #coronavirus may occur in persons who have no fever and no signs or only minor signs of infection”

https://t.co/nKQm2XUz5B",2,3,20 26 2020 02:26.PM
=@besthealthyou,"In #Lviv region of #Ukraine protesters stated: ""we can't handle #flu epidemic; we don't need #Coronavirus in Lviv; send them to East Ukraine."" Shameful behavior! Apparently, 73 passengers from #Wuhan #China will land in #Kharkiv aka #Kharkov. All will be #Quarantined for 14 days https://t.co/VmwoTr3f8l",0,0,20 26 2020 02:26.PM
=@Jamesb24721245,"@ericthomaskgo @abc7newsbayarea There's a rumour going around some businesses are importing ingredients from Wuhan that are contaiminated. Can you investigate, that's why we aren't visiting.",0,0,20 26 2020 02:26.PM
=@alfonso_poza,"Twice a day #Wuhan is disinfected in an effort to fight #coronavirus outbreak. Trucks use cannons to spray disinfectant in key areas such as hospitals, communities and quarantine hotels. 
https://t.co/ZjApRzdME9",0,0,20 26 2020 02:26.PM
=@odimpatoh,=@ndiri2sam @OAmollo my brother We talking about the origin....even corona was in Egypt...is Egypt in wuhan...?zombie Go back to school...before you talk think...you west African guys..the only think you know is to sell drugs..stay in that direction.,0,0,20 26 2020 02:26.PM
=@CheungKlm,@guardian It is usual for CCP tyranny to hurt & arrest dissents especially when it can't solve a problem. The number of deaths in Wuhan must be much more considering that hospitals can't treat so many ppl who then die at home. Lockdown & internet shut down create hidden humanity issues. https://t.co/gl7ljj9Can,0,1,20 26 2020 02:26.PM
=@ZubSpike,"Australians evacuated from Diamond Princess cruise ship land in Darwin. Approximately 180 quarantined in Tokyo have been evacuated. The passengers will now spend 14 days in a Howard Springs quarantine facility, which is already housing 266 Wuhan evacuees.
#coronavirusaustralia https://t.co/MQegGWxI9J",0,0,20 26 2020 02:26.PM
=@rrjjnnn,"=@georgebest1969 Chinese have made many mistakes in Wuhan, and We paid the price of life. don’t make similar mistakes plz!Why don’t you Japanese pay more attention to it? No matter coronavirus would be severe or not in the end, paying attention will never be a wrong thing. Thank you????",1,2,20 26 2020 02:26.PM
=@jaiwanowski,"#BreakingNews: Ukrainian authorities don't allow to land an plane flying from Wuhan with Ukrainian passengers. For more than an hour the plane has been circling over Ukrainian airports in different cities.
#Coronavius #Ukraine https://t.co/exnQgXo23u",0,0,20 25 2020 02:25.PM
=@IcallBSonU2,MUST WATCH!  1.5 million confirmed case  50K plus bodies being cremated every day in Wuhan alone  Miles Guo’s interview with Stephen K. Bannon on War Room: Pandemic https://t.co/nTBfGK0LJY via @YouTube,0,0,20 25 2020 02:25.PM
=@Brooke_Diff,"Please understand how  hina covering up truth abt #WARS isnt a conspiracy, it's always been that way with Chinese Communists for decades #coronavirusus #nCoV2019 https://t.co/bePVJXGNW7",0,0,20 24 2020 02:24.PM
=@IronFalcon77,@TheBubbleBubble Look up Algal bloom and Wuhan - just look at those pictures!,1,0,20 24 2020 02:24.PM
=@Logan11691421,=@sadiakhurram @timesofindia @TOIWorld May be they Can evacuate the students from Wuhan as you guys are not capable of doing it,0,0,20 24 2020 02:24.PM
=@VU3UJM,"@KetansinhS @amitsinh2025 @VU2XDB @Aniketsinh108 @AMS20219 @ShyamkantM @truebluerohan @raht3612 @rohan0203 @Nivassinh @VU3EAA That's what this article says
#Wuhan #china #WuhanCoronavirusOutbreak",0,0,20 24 2020 02:24.PM
=@josephthavaraja,#BREAKING  New #coronavirus cases reported from #mainlandchina #China fall by 20% (one fifth) today from yesterday showing huge improvement   #coronavirus #ChinaCoronaVirus #WuhanCoronavirus #coronaviruschina #WuhanOutbreak  #WuhanPneumonia  #Wuhan #CoronaVirusOutbreak #ncov2020 https://t.co/02vqq856tI,0,0,20 24 2020 02:24.PM
=@DoobiestB,#coronavirus #COVID19 2019-nCoV  ??   Wuhan Hubei China outbreak  Exclusive. Obtained an internal document that reveals the Chinese #communist regime is ramping up propaganda efforts inside Hubei province  R???    @7NewsWatertown #wwny Twitter Twits! https://t.co/nNwluEABZC,0,1,20 23 2020 02:23.PM
=@kanvit2012,@Jingjaii1000 @TonsTweetings @johnwinyu Taiwan rapper blasts WHO for excluding Taiwan during outbreak Taiwanese rapper lambastes WHO for barring Taiwan to please China while Wuhan virus outbreak escalates  https://t.co/6xTniCic8n  https://t.co/Fmgxum8lZK,0,0,20 23 2020 02:23.PM
=@VU3UJM,"@SEIguy @iamdharmarajan2 @GreatGameIndia Yes it's possible
Where is Xinping
Not a single public appearance
#coronavirus #china #Wuhan",0,1,20 23 2020 02:23.PM
=@taniavanr,"Flights Wuhan-Johannesburg return. Do a mock booking to check. 1000's dying in Wuhan, half the country quarantined, yet #ANCgovernment allows flights with their Chinese friends, the rest of the world cancelled flights & is rescuing their citizens!
#Covid19 #coronavirussouthafrica https://t.co/Fg5oeAnfnH",0,1,20 23 2020 02:23.PM
=@Mindt88,=@worldonalert @BNODesk So low..they nuke Wuhan already??,0,0,20 22 2020 02:22.PM
=@AlpSirman,"Clinical findings in a group of patients infected with the 2019 novel coronavirus (SARS-Cov-2) outside of Wuhan, China: retrospective case series https://t.co/HDblHKtTNX",0,1,20 21 2020 02:21.PM
=@RGlobalism,"Ten more temporary hospitals being set up across the city will be able to provide an additional 11,000 beds for mild cases. Over 40,000 beds been reserved for #Covid19 cases in Wuhan. Still not enough. 

https://t.co/VdabuTCPzj",0,1,20 21 2020 02:21.PM
=@ReshmiSharma8,@Inevitable_ET Just a coincidence like Nostradamus' prophecies..  It is definitely not man made. Wuhan itself is so badly effected... People are suffering so much. Appreciate if you can abstain from spreading such rumors and let the Govt and health agencies do their job of saving lives.,0,0,20 21 2020 02:21.PM
=@RobertJackson55,First Coronavirus Patient Had No Link to Wuhan Seafood Market: Report https://t.co/rrJpSm2fx9 via @epochtimes,0,0,20 21 2020 02:21.PM
=@sammyhsieh,"Singapore Dollar and Korean Won Get Dumped as Virus Cases Rise 

Coronavirus person-to-person spreading outside Wuhan have increasing from Hong Kong, to Singapore, to Japan and to Korea.

https://t.co/DJNvJqSvf5",1,1,20 21 2020 02:21.PM
=@adite,The coronavirus found a mention in a #novel written 40 years ago! This is so scary cool! https://t.co/522TKNfWJu,3,5,20 21 2020 02:21.PM
=@MarkTwain_19,Has God ?????? Answered OUR Prayers to send Satan back to HELL? @grandsupremnews @tv7israelnews  @IsraeliNewsLive @IsraeliPM #wuhan #China China Turning to God He has rebuked Satan and his deadly pestilence #jesus #islam #Messiah oh Nana thank you ???? https://t.co/5lQtUV3VMm,0,0,20 21 2020 02:21.PM
=@VU3UJM,@iamdharmarajan2 @GreatGameIndia Yes your right So does the #WHO also know #Wuhan is the latest example of Bioweapon execution #WuhanCoronavirus,0,1,20 21 2020 02:21.PM
=@SVWomanEngineer,Gordon Chang: It is possible the coronavirus came from secret Wuhan bio lab https://t.co/WCeBo6IZ4b  Some of the media and western scientists are bought by China CCP's money!,0,0,20 21 2020 02:21.PM
=@Barbariangentl1,"@Randomt40770163 @peripatetical @V2019N Apparently it's 94 days after coming back from Wuhan. So it's not a 94 days incubation period, the article puts emphasis on the fact that they don't know how those patients got infected after such a long time since returning to Henan. Read carefully.",0,0,20 21 2020 02:21.PM
